sample,Noncoding,alpha_IIIa_secreted_candidate,alpha_IIIb,alpha_IIIc,alpha_IIIc_truncated,alpha_truncated,beta_IIIa_secreted_candidate,beta_IIIb,beta_IIIc,dominant_negative_candidate,ultrashort_truncated
CDS-nDZvgM,8.629581,0.0,0.0,2.7853239999999997,0.482277,0.0,0.0,0.732305,0.0,0.0,0.0
CDS-nFSCcR,11.108122999999999,0.0,0.0,2.602989,0.0,0.0,0.0,1.57559,2.54886,0.0,0.0
CDS-nJsaO2,3.634827,0.0,0.0,2.2971369999999998,0.0,0.0,0.0,0.299859,2.5403000000000002,0.0,0.0
CDS-nMdrzZ,138.032083,0.0,0.014547,58.708683,0.105239,0.0,0.0,13.05614,14.008776000000001,0.177994,6.76794
CDS-nNW5Hc,8.241029000000001,0.0,0.0,4.244302,0.0,0.0,0.0,0.506674,0.174394,0.0,0.0
CDS-nOdwML,0.682134,0.0,0.0,0.423749,0.0,0.0,0.0,0.0,0.279857,0.0,0.0
CDS-nPxDhf,16.054563,0.0,0.0,5.790754,0.02489,0.0,0.0,11.728567,23.176989,0.0,0.264582
CDS-nQMOcz,7.429647,0.0,0.0,2.6238740000000003,0.0,0.0,0.0,3.768147,3.70558,0.0,0.898848
CDS-nTqLtd,65.058613,0.0,0.0,43.057666,0.268623,0.0,9.343016,0.0,23.727916,0.0,0.0
CDS-nVd1T3,6.843451,0.0,0.0,2.518393,0.0,0.0,0.0,4.062615,3.265856,0.0,0.068409
CDS-nZP7TZ,0.462908,0.0,0.0,0.29925799999999997,0.0,0.0,0.0,0.262052,0.098771,0.0,0.0
CDS-nZTjLS,0.260388,0.0,0.084984,0.162114,0.0,0.0,0.0,0.0,0.35705,0.0,0.0
CDS-nehK4w,0.216255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDS-ng0wY9,16.438424,0.050585,0.0,7.599904,0.046564,0.0,0.0,3.168319,7.57956,0.0,0.233164
CDS-ng9jOo,16.511256,0.0,0.0,4.79701,0.0,0.0,0.0,11.252838,11.590667,0.0,0.157321
CDS-nhPoRW,21.694037,0.0,0.0,11.096464000000001,0.0,0.0,0.0,11.848225,14.488539,0.0,0.396779
CDS-nhbpra,0.132241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
